ID;Plec;Wiek;Wyksztalcenie
1;0;18;0
2;0;19;0
3;0;20;0
4;0;21;0
5;0;22;0
6;0;23;0
7;0;24;0
8;0;25;0
9;0;26;0
10;0;27;0
11;0;28;0
12;0;29;0
13;0;30;0
14;0;31;0
15;0;32;0
16;0;33;0
17;0;34;0
18;0;35;0
19;0;36;0
20;0;37;0
21;0;38;0
22;0;39;0
23;0;40;0
24;0;41;0
25;0;42;0
26;0;43;1
27;0;44;1
28;0;45;1
29;0;46;1
30;0;47;1
31;0;48;1
32;0;49;1
33;0;50;1
34;0;51;1
35;0;52;1
36;0;53;1
37;0;54;1
38;0;55;1
39;0;18;0
40;0;19;0
41;0;20;0
42;0;21;0
43;0;22;0
44;0;23;0
45;0;24;0
46;0;25;0
47;0;26;0
48;0;27;0
49;0;28;0
50;0;29;0
51;1;18;0
52;1;19;0
53;1;20;0
54;1;21;0
55;1;22;0
56;1;23;0
57;1;24;0
58;1;25;0
59;1;26;0
60;1;27;0
61;1;28;0
62;1;29;0
63;1;30;0
64;1;31;0
65;1;32;0
66;1;33;0
67;1;34;0
68;1;35;0
69;1;36;0
70;1;37;0
71;1;38;0
72;1;39;0
73;1;40;0
74;1;41;0
75;1;42;0
76;1;43;1
77;1;44;1
78;1;45;1
79;1;46;1
80;1;47;1
81;1;48;1
82;1;49;1
83;1;50;1
84;1;51;1
85;1;52;1
86;1;53;1
87;1;54;1
88;1;55;0
89;1;56;0
90;1;57;0
91;1;58;0
92;1;59;0
93;1;60;0
94;1;61;0
95;1;62;0
96;1;63;0
97;1;64;0
98;1;70;0
99;1;75;0
100;1;80;0
101;0;22; 
102;1; ;0
103;0;41; 
104;1; ; 
105;0;19; 
106;1;30; 
107;0; ; 
108;1;51;1
109; ; ; 
110;0;28; 
