ID,NPI_Podziw,NPI_Przywodztwo,NPI_Trzecia
1,39,11,12
2,42,15,14
3,45,20,16
4,48,25,18
5,51,30,20
6,54,35,22
7,57,40,24
8,60,45,26
9,63,50,28
10,66,12,30
11,69,17,32
12,72,22,34
13,75,27,36
14,78,32,38
15,81,37,40
16,84,42,42
17,87,47,44
18,90,52,46
19,93,14,48
20,96,19,50
21,99,24,52
22,102,29,54
23,105,34,56
24,108,39,58
25,111,44,13
26,114,49,15
27,117,54,17
28,120,11,19
29,123,16,21
30,126,21,23
31,129,26,25
32,132,31,27
33,135,36,29
34,138,41,31
35,141,46,33
36,144,51,35
37,147,13,37
38,150,18,39
39,153,23,41
40,156,28,43
41,159,33,45
42,40,38,47
43,43,43,49
44,46,48,51
45,49,53,53
46,52,15,55
47,55,20,57
48,58,25,12
49,61,30,14
50,64,35,16
51,67,40,18
52,70,45,20
53,73,50,22
54,76,12,24
55,79,17,26
56,82,22,28
57,85,27,30
58,88,32,32
59,91,37,34
60,94,42,36
61,97,47,38
62,100,52,40
63,103,14,42
64,106,19,44
65,109,24,46
66,112,29,48
67,115,34,50
68,118,39,52
69,121,44,54
70,124,49,56
71,127,54,58
72,130,11,13
73,133,16,15
74,136,21,17
75,139,26,19
76,142,31,21
77,145,36,23
78,148,41,25
79,151,46,27
80,154,51,29
81,157,13,31
82,160,18,33
83,41,23,35
84,44,28,37
85,47,33,39
86,50,38,41
87,53,43,43
88,56,48,45
89,59,53,47
90,62,15,49
91,65,20,51
92,68,25,53
93,71,30,55
94,74,35,57
95,77,40,12
96,80,45,14
97,83,50,16
98,86,12,18
99,89,17,20
100,161,54,58
